n,UA_Search,UA_Insert,UA_Delete,UA_Min,UA_Max,UA_Pred,UA_Succ,SA_Search,SA_Insert,SA_Delete,SA_Min,SA_Max,SA_Pred,SA_Succ,SLLU_Search,SLLU_Insert,SLLU_Delete,SLLU_Min,SLLU_Max,SLLU_Pred,SLLU_Succ,SLLS_Search,SLLS_Insert,SLLS_Delete,SLLS_Min,SLLS_Max,SLLS_Pred,SLLS_Succ,DLLU_Search,DLLU_Insert,DLLU_Delete,DLLU_Min,DLLU_Max,DLLU_Pred,DLLU_Succ,DLLS_Search,DLLS_Insert,DLLS_Delete,DLLS_Min,DLLS_Max,DLLS_Pred,DLLS_Succ
3700,3700,1,3700,3700,3700,3700,3700,11,3700,3700,1,1,1,1,3700,1,3700,3700,3700,3700,3700,3700,3700,3700,1,3700,3700,3700,3700,1,3700,3700,3700,3700,3700,3700,3700,3700,1,3700,3700,3700
3800,3800,1,3800,3800,3800,3800,3800,11,3800,3800,1,1,1,1,3800,1,3800,3800,3800,3800,3800,3800,3800,3800,1,3800,3800,3800,3800,1,3800,3800,3800,3800,3800,3800,3800,3800,1,3800,3800,3800
3900,3900,1,3900,3900,3900,3900,3900,11,3900,3900,1,1,1,1,3900,1,3900,3900,3900,3900,3900,3900,3900,3900,1,3900,3900,3900,3900,1,3900,3900,3900,3900,3900,3900,3900,3900,1,3900,3900,3900
4000,4000,1,4000,4000,4000,4000,4000,11,4000,4000,1,1,1,1,4000,1,4000,4000,4000,4000,4000,4000,4000,4000,1,4000,4000,4000,4000,1,4000,4000,4000,4000,4000,4000,4000,4000,1,4000,4000,4000
4100,4100,1,4100,4100,4100,4100,4100,12,4100,4100,1,1,1,1,4100,1,4100,4100,4100,4100,4100,4100,4100,4100,1,4100,4100,4100,4100,1,4100,4100,4100,4100,4100,4100,4100,4100,1,4100,4100,4100
4200,4200,1,4200,4200,4200,4200,4200,12,4200,4200,1,1,1,1,4200,1,4200,4200,4200,4200,4200,4200,4200,4200,1,4200,4200,4200,4200,1,4200,4200,4200,4200,4200,4200,4200,4200,1,4200,4200,4200
4300,4300,1,4300,4300,4300,4300,4300,12,4300,4300,1,1,1,1,4300,1,4300,4300,4300,4300,4300,4300,4300,4300,1,4300,4300,4300,4300,1,4300,4300,4300,4300,4300,4300,4300,4300,1,4300,4300,4300
4400,4400,1,4400,4400,4400,4400,4400,12,4400,4400,1,1,1,1,4400,1,4400,4400,4400,4400,4400,4400,4400,4400,1,4400,4400,4400,4400,1,4400,4400,4400,4400,4400,4400,4400,4400,1,4400,4400,4400
4500,4500,1,4500,4500,4500,4500,4500,12,4500,4500,1,1,1,1,4500,1,4500,4500,4500,4500,4500,4500,4500,4500,1,4500,4500,4500,4500,1,4500,4500,4500,4500,4500,4500,4500,4500,1,4500,4500,4500
4600,4600,1,4600,4600,4600,4600,4600,12,4600,4600,1,1,1,1,4600,1,4600,4600,4600,4600,4600,4600,4600,4600,1,4600,4600,4600,4600,1,4600,4600,4600,4600,4600,4600,4600,4600,1,4600,4600,4600
4700,4700,1,4700,4700,4700,4700,4700,12,4700,4700,1,1,1,1,4700,1,4700,4700,4700,4700,4700,4700,4700,4700,1,4700,4700,4700,4700,1,4700,4700,4700,4700,4700,4700,4700,4700,1,4700,4700,4700
4800,4800,1,4800,4800,4800,4800,4800,12,4800,4800,1,1,1,1,4800,1,4800,4800,4800,4800,4800,4800,4800,4800,1,4800,4800,4800,4800,1,4800,4800,4800,4800,4800,4800,4800,4800,1,4800,4800,4800
4900,4900,1,4900,4900,4900,4900,4900,12,4900,4900,1,1,1,1,4900,1,4900,4900,4900,4900,4900,4900,4900,4900,1,4900,4900,4900,4900,1,4900,4900,4900,4900,4900,4900,4900,4900,1,4900,4900,4900
5000,5000,1,5000,5000,5000,5000,5000,12,5000,5000,1,1,1,1,5000,1,5000,5000,5000,5000,5000,5000,5000,5000,1,5000,5000,5000,5000,1,5000,5000,5000,5000,5000,5000,5000,5000,1,5000,5000,5000
